watershed,dorsal.spine.1.len.mm.lateral,dorsal.spine.2.len.mm.lateral,dorsal.fin.len.mm.lateral,caudal.depth.mm.lateral,anal.fin.len.mm.lateral,pect.fin.insertion.len.mm.lateral,body.depth.mm.lateral,mouth.len.mm.lateral,snout.len.mm.lateral,eye.diam.mm.lateral,head.len.mm.lateral,pect.fin.wid.len.mm.lateral,pect.fin.len.mm.lateral,pect.fin.perim.mm.lateral,pect.fin.area.mm.lateral,standard.len.mm.lateral,buccal.cavity.length.mm,gape.width.mm,body.width.eye.mm,body.width.midbody.mm,pelvic.girdle.width.mm,pelvic.girdle.diamond.width.mm,pelvic.girdle.length.mm,pelvic.girdle.diamond.length.mm,body.width.anal.1.mm,body.width.anal.2.mm,Habitat.L.0..S.1,Mass.g,Standard.Length.mm,Left.Side.Pelvic.Spine.Length.mm,Left.Side.Plate.Count,Right.Side.Pelvic.Spine.Length.mm,Right.side.plate.count,Right.side.gill.raker.number.insitu,Right.Side.Gill.Raker.Number.dissected,Length.longest.raker.mm,Length.2nd.longest.raker.mm,Length.3rd.longest.raker.mm,raker.density.per.mm
beaver,3.23,3.77,7.64,1.35,6.17,1.84,7.06,1.67,2.34,3.54,9.98,6.58,4.44,17.06,483.06,35.56,9.05,2.37,1.97,2.65,2.94,1.33,5.77,4.29,3.48,2.48,0,0.63,36.67,4.92,5,5.06,5,18,18,0.73,0.7,0.76,3.81
beaver,4.19,4.94,11.43,1.96,7.62,1.76,10.07,2.19,3.34,4.48,13.5,8.94,6.18,22.81,1201.78,49.33,11.81,3.47,3.59,4.29,4.57,2.68,7.86,6.77,4.54,3.21,0,1.71,49.99,6.55,6,6.89,6,17,17,0.99,0.98,1,2.57
beaver,3.75,4.58,9.72,1.76,7.48,2.07,8.45,1.96,2.8,4.01,11.68,7.8,5.21,20.87,1002.21,40.44,10.3,2.45,1.86,3.12,3.6,2.15,6.53,4.96,3.8,2.71,0,0.88,40.12,5.86,5,5.5,4,18,18,0.91,0.94,0.88,3.13
beaver,3.44,3.95,10.37,1.46,7.62,2.76,7.53,1.55,2.55,3.62,10.52,5.32,4.58,15.77,441.3,38.55,9.08,2.52,2.2,2.99,3.22,2.02,6.99,5.12,3.56,2.52,0,0.75,39.09,5.43,5,5.65,6,17,17,0.7,0.67,0.71,3.69
beaver,4.68,5.62,13.88,2.65,10.05,3.02,10.95,2.66,3.21,5.01,15.06,10.9,7.01,28.13,1780.3,53.89,12.4,3.47,2.51,4.24,4.57,2.33,7.13,6.01,5.51,4.16,0,2.1,52.75,7.07,5,7.18,5,21,21,1.25,1.25,1.13,2.63
beaver,3.06,3.77,6.71,1.52,6.36,1.36,7.01,1.44,3.11,3.69,11.22,5.59,4.49,16.51,432.42,36.68,8.62,2.1,1.6,2.46,2.78,1.54,6.07,4.65,3.25,2.13,0,0.54,35.29,4.82,4,5.1,6,20,20,0.74,0.71,0.78,3.72
beaver,3.32,3.53,9.54,1.64,7.28,1.86,8.23,2.19,3.17,3.73,11.83,6.63,4.81,17.86,728.43,40.78,9.78,2.53,1.89,2.86,3.42,2.04,6.23,4.5,3.86,2.46,0,0.9,40.75,4.51,4,4.32,4,20,20 top rakers seperated but count confirmed,0.64,0.69,0.75,2.92
beaver,3.57,3.93,9.81,1.62,6.43,1.79,7.97,1.93,2.95,4.3,11.65,5.03,5.16,15.85,572.67,40.6,8.73,2.85,2.11,3.2,3.63,2.31,6.54,4.83,3.49,2.38,0,0.88,40.96,5.19,3,5.21,4,18,18,0.8,0.76,0.67,2.9
beaver,3.46,4.06,9.36,1.64,6.88,1.63,8.11,2.2,3.05,4.19,12.34,5.43,4.92,16.12,618.24,38.86,9.67,2.66,2.43,2.82,3.29,1.78,5.51,4.51,3.53,2.51,0,0.76,38.39,4.7,5,4.72,5,18,18,0.81,0.73,0.74,3.28
beaver,3.96,4.41,9.1,1.56,7.04,2.32,8.03,1.5,2.58,3.66,10.38,6.75,4.38,17.19,677.5,39.94,9.08,2.54,2.3,2.58,3.06,1.62,5.88,4.88,3.51,2.71,0,0.71,39.36,5.48,5,5.16,5,21,21,0.76,0.59,0.72,3.84
beaver,3.66,4.4,9.8,1.61,7.66,2.33,8.54,2.09,3.19,3.88,12.33,7.33,5.03,19.21,801.52,41.94,10.27,2.75,1.93,3.09,3.37,2.14,7.85,5.54,3.88,2.91,0,0.96,41.6,6.07,5,6.18,5,17,17,0.97,0.94,0.97,3
beaver,3.99,4.55,9.11,1.51,7.09,2.39,7.61,1.95,2.68,3.46,10.48,5.33,4.29,14.9,315.98,37.68,8.87,2.19,1.63,3.31,2.96,1.98,6.61,4.71,3.76,2.35,0,0.66,36.83,5.7,5,5.53,5,18,18,0.67,0.67,0.76,3.56
beaver,4.53,5.63,13.93,2.43,10.57,2.96,10.9,3.13,3.9,4.99,15.28,9.7,7.39,26.05,1581.92,55.15,11.42,3.57,2.75,3.77,4.16,2.62,10.77,7.57,5.72,3.29,0,2.08,55.57,7.4,5,7.71,5,18,18,1.2,1.05,1.06,2.62
beaver,3.39,3.95,9.36,1.92,8.46,2.3,8.99,2.42,3.1,4.19,12.73,6.72,5.37,18.72,805.27,42.22,10.22,2.71,2.12,3.16,3.59,2.34,7.02,5.14,4.33,2.84,0,1.09,41.7,5.13,4,5.12,4,17,17,0.83,0.77,0.79,3.27
beaver,3.84,4.51,10.49,1.67,8.61,2.44,8.46,2.55,3.38,4.21,12.54,6.85,5.69,19.85,855.36,42.53,10.42,2.48,1.72,2.9,3.43,2.06,6.88,3.96,4.25,2.67,0,0.93,42,5.15,6,5.17,6,20,20,0.84,0.81,0.83,3.41
boot,6.51,7.67,17.63,2.68,13.98,3.67,14.32,3.92,5.79,6.22,19.65,10.91,8.9,31.02,1645.31,67.25,14.34,4.29,3.4,6.44,6.29,3.83,13.66,9.73,5.99,4.55,0,3.76,64.78,NA,7,10.46,7,22,19 3 along top got left behind,1.14,1.37,1.14,2.27
boot,6.48,7.59,16.39,2.77,11.95,3.02,12.08,2.7,5.05,5.24,17.41,10.49,8.55,29.52,1483.67,60.69,13.36,4.06,2.68,5.15,6.07,4.27,12.29,8.96,5.61,4.21,0,3.05,59.9,NA,7,10.28,8,20,20,1.37,1.16,1.33,2.29
boot,7.24,8.22,17.82,2.71,12.77,3.87,13.32,3.11,5.48,5.76,18.99,13.02,8.82,33.7,1880.63,66,13.75,4.21,3.12,5.94,6.64,4.55,13.02,9.54,6.52,4.45,0,4.21,65.72,NA,7,9.17,7,20,20,1.39,1.21,1.38,2.37
boot,6.61,7.97,16.57,2.72,13.49,4.01,13.36,3.6,6,5.75,19.9,12.55,9.9,34.32,2032.28,67.66,14.86,3.96,3.02,5.85,6.04,4.54,12.86,9.37,6.34,4.24,0,3.69,66.36,NA,7,9.97,7,21,21,1.46,1.5,1.46,2.1
boot,8.05,9.37,18.02,3.05,12.78,4.11,15.33,3.07,5.2,6.5,19.11,12.75,9.57,35.45,2049.59,71.36,13.66,3.84,3.36,7.04,7.36,5,15.3,11.55,5.91,4.11,0,4.64,68.88,NA,8,NA,12,21,21,1.47,1.55,1.31,2.32
boot,7.59,9.37,16.27,2.93,13.21,3,14.67,3.7,5.45,6.38,19.22,11.79,9.47,33.55,1904.5,65.66,13.78,3.87,2.96,5.97,6.59,4.69,14.09,9.73,5.64,4.16,0,3.88,64.02,NA,7,11.86,7,18,18,1.42,1.48,1.56,2.14
boot,7.67,8.75,18.68,3.09,13.74,3.75,14.48,3.81,5.63,6.67,20.93,11.25,10,32.92,1771.7,67.99,15.79,4.38,2.72,6.45,6.3,4.16,13.95,10.31,6.09,4.47,0,4.14,66.8,NA,7,9.9,7,20,20,1.35,1.29,1.29,2.44
boot,6.91,8.15,17.08,2.58,13.63,3.97,12.93,3.11,5.91,6.08,19.63,10.96,8.18,30.13,1615.91,68.03,13.99,4.42,2.12,4.73,6.14,4.82,13.98,10.24,6.01,4.31,0,3.41,66.55,NA,7,10.97,7,22,22,1.16,1.29,1.24,2.58
boot,6.23,7.77,17.46,2.32,12.45,3.53,13.06,3.29,5.2,5.54,18.08,10.75,8.88,30.73,1613.62,64.75,14.33,3.87,2.53,5.55,5.91,4.27,12.78,9.21,5.77,4.17,0,3.25,63.09,NA,7,10.3,7,19,19,1.43,1.41,1.4,2.26
boot,5.88,6.99,14.56,2.23,9.63,3.03,10.57,2.59,4.36,4.82,15.61,7.67,7.01,22.99,879.36,54.52,11.98,3.27,2.6,4.41,4.77,3.4,11.7,8.15,4.68,3.71,0,1.94,54.67,NA,7,8.58,7,20,20,1.22,1.06,0.82,2.54
boot,7.62,8.53,19.39,3.01,14.52,3.88,14.32,3.11,5.36,6.17,19.63,12.41,10.06,34.58,1920.32,68.86,15.25,4.59,3.13,6.39,7.1,4.89,15.03,10.71,6.88,5.11,0,4.49,68.12,NA,7,10.75,7,20,20,1.23,1.4,1.36,2.25
boot,7.04,8.99,15.93,2.71,12.89,3.17,12.86,3.14,4.92,5.73,17.72,11.65,7.84,29.78,1572.87,63.44,13.67,3.49,2.08,5.41,5.84,3.58,13.55,9.6,5.88,4.14,0,3.34,63.16,NA,6,10.26,7,20,20,1.24,1.18,1.26,2.67
boot,5.97,7.14,14.7,2.4,10.41,2.73,11.28,2.41,3.95,5.46,15.37,7.89,7.38,23.55,830.77,56.71,11.13,3.19,2.58,4.91,5.46,3.13,12.11,8.62,4.48,3.31,0,2,55.12,NA,6,8.47,6,18,16 two along bottom got left behind,1.12,1.16,1.11,2.72
boot,6.65,7.78,15.93,2.62,11.51,2.62,12.85,3.15,4.91,5.95,17.81,9.1,8.36,27.32,1234.85,62.07,13.31,3.74,2.67,5.49,6.26,4.7,12.24,8.83,5.92,4.4,0,3.36,60.61,NA,7,8.61,6,22,22,1.2,1.18,1.16,2.89
boot,7.09,7.68,16.83,2.67,12.69,3.8,13.18,3.42,5.52,6.25,19.13,10.49,9.21,29.51,1483.1,63.33,13.96,4.31,2.76,5.55,5.8,3.93,12.99,8.93,5.23,3.93,0,3.17,62.33,NA,7,9.33,8,20,20,1.11,0.99,0.95,2.4
boot,7.14,8.11,16.66,2.85,14.26,3.47,13.47,3.69,5.36,5.64,19.35,10.03,9.61,30.83,1584.91,64.52,14.79,4.05,3.06,5.57,6.25,4.71,13.97,9.79,6.33,3.95,0,3.85,64.86,NA,7,10.53,7,22,22,1.36,1.42,1.33,2.47
boot,5.91,8.05,16.07,2.51,11.31,3.59,12.3,2.48,5.05,5.62,17.77,9.84,8.48,28.56,1439.59,60.97,12.86,3.99,2.52,5.06,5.74,3.81,12.62,8.9,5.73,4.24,0,3.02,60.35,NA,9,9.42,9,20,20,1.4,1.33,1.21,2.37
boot,8.16,8.31,17.97,2.98,13.35,3.91,13.76,3.52,5.68,5.72,19.36,12.52,9.54,34.47,1956.97,68.33,14.27,4.31,2.98,5.59,6.44,4.69,14.34,11.02,6.28,4.72,0,4,66.88,NA,7,11.11,7,21,21,1.58,1.41,1.33,2.35
boot,6.31,7.78,17.26,2.6,13.46,3.71,12.13,3.34,5.43,5.25,17.68,10.51,8.21,28.95,1410.18,63.55,13.74,4.22,3.69,4.72,5.48,3.7,12.51,8.96,5.37,3.96,0,2.94,62.41,NA,8,9.78,7,21,21,1.18,1.1,1.27,2.28
boot,5.54,6.21,14.5,2.16,10.2,3.72,12.11,2.3,3.99,5.09,14.81,7.85,6.77,22.72,869.3,54.06,10.01,3.39,3.85,6.05,5.92,2.82,6.88,5.01,4.79,3.13,0,2.37,52.53,NA,8,9,7,21,21,1.13,1.05,1.04,2.77
boot,6.41,7.77,16.31,2.29,12.68,4.11,12.66,3.35,4.95,5.92,18.29,11.61,8.32,30.03,1497.42,63,13.57,4.19,2.78,4.99,5.81,3.69,12.85,9.45,6.49,4.2,0,3.17,61.13,NA,7,10.35,7,20,20,1.37,1.43,1.22,2.27
boot,7.26,8.6,18.02,2.57,13.2,3.88,12.9,3.59,4.69,5.68,18.03,11.8,9.43,32.56,1762.32,64.49,13.25,4.05,2.85,5.76,6.01,3.16,13.74,10.34,6.12,4.25,0,3.39,61.82,NA,7,10.97,7,20,20,1.46,1.5,1.5,2.6
boot,3.99,5.37,10.32,1.52,8.36,2.84,8.9,1.53,2.6,4.11,10.89,5.53,5.12,16.74,438.51,44.05,8.05,2.33,1.59,4.28,4.59,1.84,8.35,5.17,3.4,2.85,0,1.06,42.54,NA,6,5.9,8,21,21,0.7,0.72,0.72,3.72
boot,7.95,8.71,18.97,2.83,14.59,4.03,13.66,3.63,5.31,5.74,19.08,13.05,9.27,34.84,2005.34,68.82,14.79,4.4,3.46,5.69,6.52,4.69,13.46,10.25,6.89,4.6,0,4.1,67.47,NA,6,10.41,7,21,20 lost one along bottom,1.68,1.66,1.56,2.23
boot,7.8,8.55,16.35,2.59,12.55,3.93,13.05,3.27,4.07,5.45,16.42,11.22,9.17,30.74,1635.69,60.15,14.14,4.25,3,5.41,6.05,4.32,11.49,7.63,6.57,4.36,0,3.24,59.57,NA,7,10.16,7,19,19,1.29,1.4,1.29,2.72
boot,7.06,8.83,17.53,2.55,13.43,4.79,13.06,3.27,5.62,5.3,18.15,11.92,9.96,33.38,1805.42,66.04,14.51,4.05,2.88,5.46,6.04,4,13.31,9.34,5.9,4.31,0,3.42,65.91,NA,6,10.67,7,18,18,1.67,1.51,1.49,2.13
boot,6.79,8.03,16.41,2.81,11.84,3.67,14.39,3.45,5.31,5.9,18.58,11.23,9.09,32.2,1657.14,63.92,13.37,3.96,2.97,6.94,6.42,3.59,13.51,9.49,6.32,4.39,0,3.9,62.04,NA,7,10.19,7,21,21,1.31,0.94,1.11,2.38
boot,4.87,5.38,13.77,1.81,10.45,2.63,10.97,2.55,3.58,5.12,14.42,8.1,6.81,22.72,863.82,52.36,12.35,3.26,2.58,5.46,5.13,3.23,9.86,7.29,5.25,3.78,0,2.01,51.29,NA,8,7.57,8,20,20,1.01,0.91,1.05,2.6
boot,6.71,8.25,16.4,2.77,12.91,3.03,13.77,3,5.07,6.33,18.99,10.83,9.78,32.22,1741.46,64.95,15.09,4.27,3.53,6.05,6.03,4.11,13.43,9.86,6.8,4.78,0,3.87,64.76,NA,7,10.35,7,21,21,1.49,1.43,1.35,2.34
boot,7.92,8.98,19.7,2.84,13.6,4.28,16.88,3.29,5.86,5.85,20.91,13.31,10.01,38.48,2508.23,78.58,14.91,5.46,4.5,7.85,8.83,6.45,16.36,12.12,6.73,4.75,0,6.36,78.04,NA,8,11.67,7,21,21,1.42,1.45,1.51,1.86
boot,5.64,6.77,12.71,2,8.64,2.47,10.41,1.96,3.58,4.4,13.8,6.87,6.13,21.12,671.95,52.31,9.77,2.75,1.81,4.23,5.06,2.61,10.84,7.65,4.27,2.72,0,1.65,50.68,NA,7,8.42,7,21,21,1.03,0.98,0.8,3.14
boot,6.39,7.94,14.94,2.52,11.53,3.25,12.96,3.23,4.7,5.93,17.42,9.96,9.09,29.44,1439.51,61.28,12.51,3.47,2.79,5.59,5.78,3.45,12.85,9.08,5.09,3.51,0,2.99,60.62,9.74,7,9.68,7,20,20,1.17,1.06,1.26,2.07
boot,6.06,7.47,16.37,2.48,12.96,3.54,11.7,2.88,4.81,5.48,17.2,10.74,7.62,29.24,1473.13,62.07,13.16,3.67,3.06,4.44,5.48,3.67,12.04,8.88,5.47,3.95,0,2.57,60.25,8.95,8,8.65,8,20,20,1.08,1.18,0.98,2.36
boot,7.43,8.12,16.39,2.13,11.58,3.21,11.19,2.87,4.49,5.71,16.84,10.09,8.71,28.98,1413.97,60.45,11.15,3.81,3.62,4.14,5.26,3.31,12.14,8.78,4.97,3.07,0,2.23,58.53,8.8,7,9.11,6,22,22,1.2,1.12,1.59,2
boot,8.24,9.51,16.47,2.92,12.31,4.23,13.6,2.8,5.01,5.53,17.89,11.23,8.78,33.13,1795.91,67.48,13.78,4.89,4.08,6.75,7.09,4.58,15.08,10.82,5.9,4.06,0,4.08,64.71,10.86,8,10.55,7,21,21,1.45,1.15,1.25,2.32
boot,5.7,7.05,12.5,1.84,9.15,2.25,9.55,2.09,3.25,4.53,13.19,6.48,6.11,20.44,644.86,49.01,10.55,2.63,1.97,3.86,4.46,2.46,9.68,6.62,4.31,3.04,0,1.38,47.84,8.13,7,8.26,7,19,16 3 of the rakers along mouth got seperated-count confirmed,0.76,0.64,0.68,2.8
boot,7.76,9.34,15.75,2.8,11.98,3.94,14.16,2.77,4.9,5.57,17.81,11.61,8.76,31.24,1523.09,67.98,12.41,4.24,4.18,6.07,6.58,4.21,14.19,10.71,5.85,4.31,0,4.1,66.47,11.06,7,11.39,8,21,21,1.36,1.37,1.11,2.42
boot,3.46,5.15,11.01,1.41,8.5,1.72,7.67,1.26,2.37,3.7,10.31,5.51,4.68,17.46,453.17,40.68,7.7,2.06,1.68,2.81,3.21,1.62,7.8,6.18,3.37,2.12,0,0.71,38.51,6.54,7,6.65,9,16,16,0.48,0.58,0.56,4.38
boot,7.19,8.47,15.94,2.3,10.05,3.9,13.25,2.93,4.18,6.42,17.91,9.72,8.44,28.58,1471.86,63.79,13.54,3.82,3.15,5.9,6.12,4.13,14.89,10.49,4.62,3.3,0,3.31,62.83,NA,9,10.26,8,22,22,1.25,1.31,1.11,2.29
boot,4.22,5.91,11.28,1.78,8.64,2.28,9.22,2.26,3.38,3.95,12.19,6.69,5.66,20.5,640.17,45.01,8.66,2.54,2.38,3.58,4.43,2.05,9.48,6.97,3.98,2.69,0,1.07,44.37,6.01,7,7.41,7,23,23,0.89,0.8,0.69,3.41
comida,2.86,3.97,9.33,1.34,6.88,2.55,7.87,1.85,2.81,3.48,10.78,5.99,4.18,16.21,418.96,37.28,8.6,2.35,2.41,2.79,2.99,1.91,7.23,4.62,3.22,2.35,0,0.62,36.63,5.62,8,5.49,8,20,20,0.62,0.59,0.46,4.01
